Geo_nios_3ch_0001	पिछले पाठ में हमने पढा कि पृथ्वी का आंतरिक भाग बहुत गर्म है ।	piCale pATa meM hamane paDA ki pqWvI kA AMwarika BAga bahuwa garma hE .	In the previous lesson, we have learnt that the interior of the earth is very hot.
Geo_nios_3ch_0162	प्लेट विवर्तनिक सिद्धान्त से पहले वेगनर द्वारा प्रतिपादित महाद्वीपीय विस्थापन के सिद्धान्त की आलोचना विशेषरूप से उस ऊर्जा या शक्ति के लिए हुई थी जो महाद्वीपों को विस्थापित करती है ।	pleta vivarwanika sixXAnwa se pahale veganara xvArA prawipAxiwa mahAxvIpIya visWApana ke sixXAnwa kI AlocanA viSeRarUpa se usa UrjA yA Sakwi ke lie huI WI jo mahAxvIpoM ko visWApiwa karawI hE .	Prior to the advent of plate tectonic theory, the continental drift theory which was proposed by Wegener was criticized, particularly about the forces.
Geo_nios_3ch_0163	वास्तव में इस सिद्धान्त को स्पष्ट प्रमाणों के होते हुए भी अस्वीकार कर दिया गया था ।	vAswava meM isa sixXAnwa ko spaRta pramANoM ke howe hue BI asvIkAra kara xiyA gayA WA .	In fact, it was outrightly rejected in spite of apparent evidences.
Geo_nios_3ch_0164	लेकिन समुद्री सतह के पदार्थों और पुराचुम्बकत्व में किए गए अन्वेषणों ने इस सिद्धान्त का समर्थन किया और 1960 में प्लेट विवर्तनिकी सिद्धान्त ने प्लेट संचलन के रचनातंत्र की समस्या को सुलझा दिया ।	lekina samuxrI sawaha ke paxArWoM Ora purAcumbakawva meM kie gae anveRaNoM ne isa sixXAnwa kA samarWana kiyA Ora 1960 meM pleta vivarwanikI sixXAnwa ne pleta saMcalana ke racanAwaMwra kI samasyA ko sulaJA xiyA .	But further researches about the material of sea floor and paleomagnetism supported the theory but the proposition of plate tectonic theory in 1960’s has solved the problem of the mechanism of movement.
Geo_nios_3ch_0165	प्लेट विवर्तनिकी बनाम भूकम्प और ज्वालामुखी ।	pleta vivarwanikI banAma BUkampa Ora jvAlAmuKI .	Plate Tectonics Vs Earthquakes and Volcanoes
Geo_nios_3ch_0166	पृथ्वी पर भूकंप और ज्वालामुखी का वितरण यह स्पष्ट कर देता है कि ये प्लेटों की सीमाओं से घनिष्टता से जुडे हुए हैं ।	pqWvI para BUkaMpa Ora jvAlAmuKI kA viwaraNa yaha spaRta kara xewA hE ki ye pletoM kI sImAoM se GaniRtawA se jude hue hEM .	The distribution of earthquakes and volcanoes over the globe clearly reveals that they are strongly associated with the boundaries of plates.
Geo_nios_3ch_0167	प्लेटों की सीमाएँ वे क्षेत्र हैं जहाँ हर प्रकार की विवर्तनिक क्रियाएँ होती हैं ।	pletoM kI sImAez ve kRewra hEM jahAz hara prakAra kI vivarwanika kriyAez howI hEM .	Plate boundaries are the zones where every sort of tectonic activity does take place.
Geo_nios_3ch_0168	प्लेटों के खिसकने से मुक्त हुई ऊर्जा भूकम्प और ज्वालामुखी के रूप में यहाँ अभिव्यक्त होती है ।	pletoM ke Kisakane se mukwa huI UrjA BUkampa Ora jvAlAmuKI ke rUpa meM yahAz aBivyakwa howI hE .	The release of energy created because of the movement of plates is manifested in this zone in the form of earthquakes and volcanic eruption.
Geo_nios_3ch_0169	आपने क्या सीखा ।	Apane kyA sIKA .	What you have learnt?
Geo_nios_3ch_0170	पृथ्वी का धरातल गतिशील है ।	pqWvI kA XarAwala gawiSIla hE .	The surface of the earth is dynamic.
Geo_nios_3ch_0171	यह गतिशीलता धरातल के नीचे क्रियाशील शक्तियों (आंतरिक शक्तियाँ ) तथा धरातलीय/वायुमंडलीय शक्तियों (बाह्य शक्तियों) के कारण है ।	yaha gawiSIlawA XarAwala ke nIce kriyASIla SakwiyoM (AMwarika SakwiyAz ) waWA XarAwalIya/vAyumaMdalIya SakwiyoM (bAhya SakwiyoM) ke kAraNa hE .	This dynamism is due to the forces operating from inside the surface (endogenetic forces) as well as on the surface/atmospheric forces (exogenetic forces).
Geo_nios_3ch_0172a	यह पृथ्वी पर हो रहा है ।	yaha pqWvI para ho rahA hE .	It is existing on the earth while itself is rotating and revolving.
Geo_nios_3ch_0172b	जबकि पृथ्वी घूर्णन और परिक्रमण कर रही है ।	jabaki pqWvI GUrNana Ora parikramaNa kara rahI hE .	It is existing on the earth while itself is rotating and revolving.
Geo_nios_3ch_0173	धरातल असमतल है ।	XarAwala asamawala hE .	The surface is irregular.
Geo_nios_3ch_0174	अतः एक प्रकार का गतिशील साम्य हमेशा बना रहता है, जिसे भूमंडलीय संतुलन कहा जाता है ।	awaH eka prakAra kA gawiSIla sAmya hameSA banA rahawA hE, jise BUmaMdalIya saMwulana kahA jAwA hE .	Hence, a sort of dynamic equilibrium is always in operation which is termed as isostasy.
Geo_nios_3ch_0175	बहुत से विद्वानों के विचारों के बाद एअरी और प्रैट के विचार अधिक स्पष्ट है ।	bahuwa se vixvAnoM ke vicAroM ke bAxa earI Ora prEta ke vicAra aXika spaRta hE .	Apart from many scholars the views of Airy and Pratt are more distinct.
Geo_nios_3ch_0176	एअरी ने सभी शैलों के समान घनत्व के सिद्धान्त का प्रतिपादन किया ।	earI ne saBI SEloM ke samAna Ganawva ke sixXAnwa kA prawipAxana kiyA .	Airy propounded the idea of uniform density of all rocks on the surface.
Geo_nios_3ch_0177	उन्होंने कहा कि सभी स्तंभों के अनुसार उनकी जड़ें होंगी ।	unhoMne kahA ki saBI swaMBoM ke anusAra unakI jadZeM hoMgI .	has its roots depending upon the height of the column.
Geo_nios_3ch_0178a	विशाल और ऊँचे पर्वतों की जडें भी नीचे बहुत बडी होंगी ।	viSAla Ora Uzce parvawoM kI jadeM BI nIce bahuwa badI hoMgI .	A greater root will be found beneath the higher and lofy body of mountains and having smaller root under lower columns like plateau or plain.
Geo_nios_3ch_0178b	जबकि पठार और मैदान जैसे निचले भागों की जडें छोटी होंगी ।	jabaki paTAra Ora mExAna jEse nicale BAgoM kI jadeM CotI hoMgI .	A greater root will be found beneath the higher and lofy body of mountains and having smaller root under lower columns like plateau or plain.
Geo_nios_3ch_0179	प्रैट ने माना कि पृथ्वी पर पाई जाने वाली विभिन्न शैलों का घनत्व अलग-अलग होगा ।	prEta ne mAnA ki pqWvI para pAI jAne vAlI viBinna SEloM kA Ganawva alaga-alaga hogA .	Pratt accepted that the rocks found on the earth have different densities.
Geo_nios_3ch_0180	एक निश्चित गहराई पर विभिन्न ऊँचाई और भार वाले स्तंभों की क्षतिपूर्ति हो जायेगी ।	eka niSciwa gaharAI para viBinna UzcAI Ora BAra vAle swaMBoM kI kRawipUrwi ho jAyegI .	At a particulars depth, the weight of all columns of varying height will be compensated.
Geo_nios_3ch_0181a	अतः अधिक ऊँचाई वाली राशि का घनत्व कम होगा ।	awaH aXika UzcAI vAlI rASi kA Ganawva kama hogA .	Hence, higher column of mass will have lower density and lower column will have higher density.
Geo_nios_3ch_0181b	जबकि कम ऊँचाई वाली राशि का घनत्व अधिक होगा ।	jabaki kama UzcAI vAlI rASi kA Ganawva aXika hogA .	Hence, higher column of mass will have lower density and lower column will have higher density.
Geo_nios_3ch_0182a	अतः दोनों ही भूमंडलीय संतुलन की समस्या का समाधान कर रहे हैं; ।	awaH xonoM hI BUmaMdalIya saMwulana kI samasyA kA samAXAna kara rahe hEM; .	Therefore, both of them are explaining the same problem of isostatic balance, but with different perspective.
Geo_nios_3ch_0182b	लेकिन विभिन्न परिप्रेक्ष्य में ।	lekina viBinna pariprekRya meM .	Therefore, both of them are explaining the same problem of isostatic balance, but with different perspective.
Geo_nios_3ch_0183	पृथ्वी पर भूमि और जल का वितरण स्थाई नहीं है ।	pqWvI para BUmi Ora jala kA viwaraNa sWAI nahIM hE .	The distribution of land and water on earth surface is not static.
Geo_nios_3ch_0184a	यह बदल गया है, बदल रहा है ।	yaha baxala gayA hE, baxala rahA hE .	It has changed, it is changing and it will change in future too.
Geo_nios_3ch_0184b	और भविष्य में भी बदलेगा ।	Ora BaviRya meM BI baxalegA .	It has changed, it is changing and it will change in future too.
Geo_nios_3ch_0185	यह परिवर्तित स्थिति वेगनर द्वारा प्रतिपादित महाद्वीपीय विस्थापन में अपरिष्कृत रूप में कही गई, परन्तु जिस रचनातंत्र की उन्होंने व्याख्या की, वह वैज्ञानिक नहीं था ।	yaha parivarwiwa sWiwi veganara xvArA prawipAxiwa mahAxvIpIya visWApana meM apariRkqwa rUpa meM kahI gaI, paranwu jisa racanAwaMwra kI unhoMne vyAKyA kI, vaha vEjFAnika nahIM WA .	This changed position is said to be continental drift in crude way which was conceived by Wegener, but the mechanism explained by him was not scientific.
Geo_nios_3ch_0186	अतः इस सिद्धान्त को शक्तिशाली साक्ष्यों के होते हुए भी अस्वीकार कर दिया गया ।	awaH isa sixXAnwa ko SakwiSAlI sAkRyoM ke howe hue BI asvIkAra kara xiyA gayA .	Therefore, his ideas of continental drift was denounced in spite of his strong futile and testifying evidences.
Geo_nios_3ch_0187	होम्स द्वारा प्रतिपादित संवहनीय धाराओं और प्लेट विवर्तनिक सिद्धान्त ने पृथ्वी के धरातल को समझने के लिए एक नई दृष्टि प्रदान की ।	homsa xvArA prawipAxiwa saMvahanIya XArAoM Ora pleta vivarwanika sixXAnwa ne pqWvI ke XarAwala ko samaJane ke lie eka naI xqRti praxAna kI .	With the concept of convectional current theory of Holmes and proposition of plate tectonics, a new thinking came in understanding the surface of the earth.
Geo_nios_3ch_0188	पुराचुम्बकत्व और महासागरीय विस्तारण के अध्ययन ने प्लेट विवर्तनिकी सिद्धान्त का समर्थन किया है ।	purAcumbakawva Ora mahAsAgarIya viswAraNa ke aXyayana ne pleta vivarwanikI sixXAnwa kA samarWana kiyA hE .	Study on paleomagnetism as well as sea floor spreading have supported the plate tectonics theory.
Geo_nios_3ch_0189	इस सिद्धान्त के अनुसार पृथ्वी का धरातल सैंकडों टूटे हुए खंडों, जो कि बहुत विशाल और भारी है, से बना है ।	isa sixXAnwa ke anusAra pqWvI kA XarAwala sEMkadoM tUte hue KaMdoM, jo ki bahuwa viSAla Ora BArI hE, se banA hE .	According to this theory, the earth surface is made up of several broken blocks of enormous size with great depth considered to be a plate.
Geo_nios_3ch_0190	ये सात बडी और सात छोटे आकार की प्लेट है ।	ye sAwa badI Ora sAwa Cote AkAra kI pleta hE .	There are seven bigger size plates and twenty seven smaller size plates.
Geo_nios_3ch_0191	संवहनीय धाराओं के सिद्धान्त अनुसार इनमे संचालन तीन संभावित रूपों में होता है ।	saMvahanIya XArAoM ke sixXAnwa anusAra iname saMcAlana wIna saMBAviwa rUpoM meM howA hE .	As per the concept of convectional current, their movement takes place in three possible ways.
Geo_nios_3ch_0192	प्रथम, दो पास की प्लेट एक दूसरे से दूर खिसक रही हों (अपसरण) और जहाँ एक नए क्षेत्र का निर्माण हो रहा है ।	praWama, xo pAsa kI pleta eka xUsare se xUra Kisaka rahI hoM (apasaraNa) Ora jahAz eka nae kRewra kA nirmANa ho rahA hE .	First, two adjacent plates move away (divergent) and where a new zone is constructed.
Geo_nios_3ch_0193	द्वितीय, जब दो प्लेट आपस में मिल रही हों (अभिसरण) और धंसाव हो जिससे एक क्षेत्र नष्ट हो रहा हो ।	xviwIya, jaba xo pleta Apasa meM mila rahI hoM (aBisaraNa) Ora XaMsAva ho jisase eka kRewra naRta ho rahA ho .	Second, two adjacent plates come closer (convergent) and get subducted and where a zone is destroyed.
Geo_nios_3ch_0194	तृतीय, जब दो प्लेट एक दूसरे के पास से खिसक रही हों (रूपांतरण भ्रंश) ,जहाँ पर दोनों के सीमांत परिरक्षित हो रहे हों ।	wqwIya, jaba xo pleta eka xUsare ke pAsa se Kisaka rahI hoM (rUpAMwaraNa BraMSa) ,jahAz para xonoM ke sImAMwa parirakRiwa ho rahe hoM .	Third, in which two adjacent plates slide past each other (fracture) where the margins of both plates are preserved.
Geo_nios_3ch_0195	इन विभिन्न विवर्तनिक क्रियाओं के कारण भूकम्प और ज्वालामुखी प्लेट सीमाओं से सम्बन्धित हैं ।	ina viBinna vivarwanika kriyAoM ke kAraNa BUkampa Ora jvAlAmuKI pleta sImAoM se sambanXiwa hEM .	Because of these different tectonic activities, earthquakes and volcanoes are associated with plate margins.
Geo_nios_3ch_0196	भूसंतुलन क्या है? ।	BUsaMwulana kyA hE? .	What is isostasy?
Geo_nios_3ch_0197	एअरी के अनुसार भूसंतुलन की अवधारणा की व्याख्या कीजिए ।	earI ke anusAra BUsaMwulana kI avaXAraNA kI vyAKyA kIjie .	Explain the concept of isostasy according to Airy.
Geo_nios_3ch_0198	प्रैट द्वारा प्रतिपादित पृथ्वी के भूसंतुलन की व्याख्या कीजिए ।	prEta xvArA prawipAxiwa pqWvI ke BUsaMwulana kI vyAKyA kIjie .	Explain the isostatic balance of the earth as proposed by Pratt.
Geo_nios_3ch_0199	एअरी और प्रैट के विचारों में अन्तर बताइए ।	earI Ora prEta ke vicAroM meM anwara bawAie .	Differentiate the ideas between Airy and Pratt.
Geo_nios_3ch_0200	वैश्विक स्तर पर भूमंडलीय संतुलन की चर्चा कीजिए ।	vESvika swara para BUmaMdalIya saMwulana kI carcA kIjie .	Discuss the isostatic balance at global level.
Geo_nios_3ch_0201	महाद्वीपीय विस्थापन के प्रमाणों की चर्चा कीजिए ।	mahAxvIpIya visWApana ke pramANoM kI carcA kIjie .	Discuss the evidences of continental drift.
Geo_nios_3ch_0202	प्लेट क्या हैं? ।	pleta kyA hEM? .	What is plate?
Geo_nios_3ch_0203	प्लेट संचलन के रचनातंत्र की व्याख्या कीजिए ।	pleta saMcalana ke racanAwaMwra kI vyAKyA kIjie .	Explain the mechanism of plate movement.
Geo_nios_3ch_0204	प्लेट सीमान्तों पर होने वाली क्रियाओं की चर्चा कीजिए ।	pleta sImAnwoM para hone vAlI kriyAoM kI carcA kIjie .	Discuss the activities at plate margins.
Geo_nios_3ch_0205	भूकम्प और ज्वालामुखी के वितरण का प्लेट सीमाओं के संदर्भ में वर्णन कीजिए ।	BUkampa Ora jvAlAmuKI ke viwaraNa kA pleta sImAoM ke saMxarBa meM varNana kIjie .	Describe the distribution of earthquakes and volcanoes with the help of plate boundaries.
