Geo_nios_4ch_0001	पृथ्वी अस्थिर है ।	pqWvI asWira hE .	We live on an unstable earth.
Geo_nios_4ch_0144	इटली का विसुवियस तथा दक्षिण अमेरिका का कोटोपेक्सी प्रमुख प्रसुप्त ज्वालामुखी हैं ।	italI kA visuviyasa waWA xakRiNa amerikA kA kotopeksI pramuKa prasupwa jvAlAmuKI hEM .	Important among these are Vesuvious of Italy, Cotopaxi in South America.
Geo_nios_4ch_0145	इन दो प्रकार के ज्वालामुखी के विपरीत कुछ ऐसे ज्वालामुखी हैं जिनमें ऐतिहासिक काल में उद्गार नहीं हुए ।	ina xo prakAra ke jvAlAmuKI ke viparIwa kuCa Ese jvAlAmuKI hEM jinameM EwihAsika kAla meM uxgAra nahIM hue .	Contrary to these two, there are volcanoes which have not erupted in historical times.
Geo_nios_4ch_0146	इन्हें विलुप्त ज्वालामुखी कहते हैं ।	inheM vilupwa jvAlAmuKI kahawe hEM .	These are called extinct volcanoes.
Geo_nios_4ch_0147	म्यांमार (बर्मा) का माऊंट पोषा तथा तंजानिया का किलीमंजारो प्रमुख विलुप्त ज्वालामुखी हैं ।	myAMmAra (barmA) kA mAUMta poRA waWA waMjAniyA kA kilImaMjAro pramuKa vilupwa jvAlAmuKI hEM .	Mount Popa of Myanmar (Burma) and Kilimanjaro of Tanzania are important extinct volcanoes.
Geo_nios_4ch_0148	किसी भी ज्वालामुखी को प्रसुप्त या विलुप्त ज्वालामुखी प्रकार में बांटना आसान नहीं हैं ।	kisI BI jvAlAmuKI ko prasupwa yA vilupwa jvAlAmuKI prakAra meM bAMtanA AsAna nahIM hEM .	It is not, always very simple to categorise a volcano as dormant or extinct.
Geo_nios_4ch_0149a	उदाहरण के लिए विसुवियस तथा क्राकाटोआ हजारों वर्षों तक विलुप्त रहने के बाद उनमें अचानक उद्गार होने लगे ।	uxAharaNa ke lie visuviyasa waWA krAkAtoA hajAroM varRoM waka vilupwa rahane ke bAxa unameM acAnaka uxgAra hone lage .	For example the Vesuvious and Krakatoa became suddenly active after lying dormant for hundreds of years.
Geo_nios_4ch_0149b	और सक्रिय ज्वालामुखी हो गये ।	Ora sakriya jvAlAmuKI ho gaye .	For example the Vesuvious and Krakatoa became suddenly active after lying dormant for hundreds of years.
Geo_nios_4ch_0150	उदगार की बारम्बारता के आधार पर ज्वालामुखी तीन प्रकार के हैं -सक्रिय, प्रसुप्त तथा विलुप्त ।	uxagAra kI bArambArawA ke AXAra para jvAlAmuKI wIna prakAra ke hEM -sakriya, prasupwa waWA vilupwa .	On the basis of the frequency of eruption, volcanoes are classified into active, dormant and extinct volcanoes.
Geo_nios_4ch_0151a	सक्रिय ज्वालामुखी वे हैं जिनमें वर्तमान में या हाल वर्षों में उद्गार हो रहे हैं ।	sakriya jvAlAmuKI ve hEM jinameM varwamAna meM yA hAla varRoM meM uxgAra ho rahe hEM .	Active volcanoes are erupting currently or have erupted recently
Geo_nios_4ch_0151b	या हुए हैं ।	yA hue hEM .	Active volcanoes are erupting currently or have erupted recently
Geo_nios_4ch_0152a	प्रसुप्त ज्वालामुखी वे हैं जिनमें मानव इतिहास काल में कम से कम एक बार उद्गार हुआ है ।	prasupwa jvAlAmuKI ve hEM jinameM mAnava iwihAsa kAla meM kama se kama eka bAra uxgAra huA hE .	Dormant are those volcanoes which have erupted at least once in human history and are not active now.
Geo_nios_4ch_0152b	और जो वर्तमान में सक्रिय नहीं है ।	Ora jo varwamAna meM sakriya nahIM hE .	Dormant are those volcanoes which have erupted at least once in human history and are not active now.
Geo_nios_4ch_0153	विलुप्त ज्वालामुखी वे हैं जिनमें लंबे मानव इतिहास काल में उद्गार नहीं हुए हैं ।	vilupwa jvAlAmuKI ve hEM jinameM laMbe mAnava iwihAsa kAla meM uxgAra nahIM hue hEM .	Extinct volcanoes are those which have not erupted during long human history.
Geo_nios_4ch_0154	उद्गार की रीति के आधार पर ज्वालामुखी दो प्रकार के होते हैं, (1) केन्द्रीय उद्भेदन ज्वालामुखी तथा (2) दरारी उद्भेदन ज्वालामुखी ।	uxgAra kI rIwi ke AXAra para jvAlAmuKI xo prakAra ke howe hEM, (1) kenxrIya uxBexana jvAlAmuKI waWA (2) xarArI uxBexana jvAlAmuKI .	On the basis of mode of eruption, volcanoes are divided into two types: (i) Central type of volcanoes and (ii) Fissure type volcanoes.
Geo_nios_4ch_0155a	किसी ज्वालामुखी में उद्भेदन एक छिद्र या द्वार से होता है ।	kisI jvAlAmuKI meM uxBexana eka Cixra yA xvAra se howA hE .	When the eruption in a volcanoe takes place from a vent or a hole, it is called a central type of volcano.
Geo_nios_4ch_0155b	तब उसे केन्द्रीय उद्भेदन ज्वालामुखी कहते हैं ।	waba use kenxrIya uxBexana jvAlAmuKI kahawe hEM .	When the eruption in a volcanoe takes place from a vent or a hole, it is called a central type of volcano.
Geo_nios_4ch_0156	इन पहाडियों का आकार ज्वालामुखी से निकलने वाले पदार्थों की प्रकृति पर निर्भर करता है ।	ina pahAdiyoM kA AkAra jvAlAmuKI se nikalane vAle paxArWoM kI prakqwi para nirBara karawA hE .	Different types of domes or conical hills are formed by this type of erruption depending on the nature of erupted materials.
Geo_nios_4ch_0157	संसार के अधिकांश ज्वालामुखी इस प्रकार के हैं ।	saMsAra ke aXikAMSa jvAlAmuKI isa prakAra ke hEM .	Majority of volcanic eruptions in the world are of this type.
Geo_nios_4ch_0158	इस प्रकार के ज्वालामुखी उद्भेदन की एक अन्य विशेषता यह है कि पिघले हुए शैलों व गैसों के यकायक छिद्र या द्वार से निकलने के कारण उद्गार अत्याधिक विस्फोटक होता हैं, विसुवियस तथा फ्यूजीयामा इस वर्ग के प्रमुख ज्वालामुखी हैं ।	isa prakAra ke jvAlAmuKI uxBexana kI eka anya viSeRawA yaha hE ki piGale hue SEloM va gEsoM ke yakAyaka Cixra yA xvAra se nikalane ke kAraNa uxgAra awyAXika visPotaka howA hEM, visuviyasa waWA PyUjIyAmA isa varga ke pramuKa jvAlAmuKI hEM .	The other characteristic of this mode of eruption is that it is marked by violent explosion due to sudden escape of gases and molten rocks through the hole, Visuvious and Fuji-yama belong to this group of volcanoes.
Geo_nios_4ch_0159	कभी-कभी, भूकम्पों या भ्रशंन से भूपृष्ठ पर गहरी और लंबी दरारें पड जाती हैं ।	kaBI-kaBI, BUkampoM yA BraSaMna se BUpqRTa para gaharI Ora laMbI xarAreM pada jAwI hEM .	Sometimes, deep elongated cracks develop due to earthquakes or faulting.
Geo_nios_4ch_0160	मैग्मा इन दरारों से धीरे-धीरे बाहर की ओर निकलने लगता है ।	mEgmA ina xarAroM se XIre-XIre bAhara kI ora nikalane lagawA hE .	The magma starts flowing through them quietly.
Geo_nios_4ch_0161a	इस प्रकार के उद्भेदन को दरारी उद्भेदन कहते हैं इस प्रकार के ज्वालामुखी उद्गारों से लावा की मोटी-मोटी पर्ते जमा हो जाती हैं ।	isa prakAra ke uxBexana ko xarArI uxBexana kahawe hEM isa prakAra ke jvAlAmuKI uxgAroM se lAvA kI motI-motI parwe jamA ho jAwI hEM .	This mode of eruption is called fissure type of eruption,this eruption helps in the formation of thick horizontal sheets of lava or a low dome shaped volcano with broad base,it may also form what are identified as lava plateaus, and lava shields.
Geo_nios_4ch_0161b	और इससे लावा पठार तथा लावा शील्ड का भी निर्माण होता है ।	Ora isase lAvA paTAra waWA lAvA SIlda kA BI nirmANa howA hE .	This mode of eruption is called fissure type of eruption,this eruption helps in the formation of thick horizontal sheets of lava or a low dome shaped volcano with broad base,it may also form what are identified as lava plateaus, and lava shields.
Geo_nios_4ch_0162	भारत में दक्कन का पठार इस प्रकार के उद्गार का एक उदाहरण है ।	BArawa meM xakkana kA paTAra isa prakAra ke uxgAra kA eka uxAharaNa hE .	Deccan Traps of India is one example of fissure type of eruption.
Geo_nios_4ch_0163a	केंद्रीय प्रकार के ज्वालामुखी में छिद्र या द्वार से उद्गार होते हैं ।	keMxrIya prakAra ke jvAlAmuKI meM Cixra yA xvAra se uxgAra howe hEM .	Central type of volcanoes erupt from a vent or hole and result in the formation of a conical hill.
Geo_nios_4ch_0163b	तथा इस प्रकार के उद्भेदन के कारण एक शंक्वाकार पहाडी का निर्माण होता है ।	waWA isa prakAra ke uxBexana ke kAraNa eka SaMkvAkAra pahAdI kA nirmANa howA hE .	Central type of volcanoes erupt from a vent or hole and result in the formation of a conical hill.
Geo_nios_4ch_0164a	दरारी प्रकार के ज्वालामुखी में उद्भेदन एक दरार से होते हैं ।	xarArI prakAra ke jvAlAmuKI meM uxBexana eka xarAra se howe hEM .	Fissure type of volcanoes erupt through a crack or fissure and cause formation of plateaus and shields.
Geo_nios_4ch_0164b	तथा इस प्रकार के उद्गारों से पठारों व शील्डों का निर्माण होता है ।	waWA isa prakAra ke uxgAroM se paTAroM va SIldoM kA nirmANa howA hE .	Fissure type of volcanoes erupt through a crack or fissure and cause formation of plateaus and shields.
Geo_nios_4ch_0165	लावा की तरला के आधार पर ज्वालामुखी दो प्रकार के होते हैं (1) क्षारीय लावा के ज्वालामुखी तथा, (2) अम्लीय लावा के ज्वालामुखी ।	lAvA kI waralA ke AXAra para jvAlAmuKI xo prakAra ke howe hEM (1) kRArIya lAvA ke jvAlAmuKI waWA, (2) amlIya lAvA ke jvAlAmuKI .	On the basis of the fluidity of lava there are two types of volcanoes : (i) Volcanoes of basic lava and (ii) Volcanoes of acid lava.
Geo_nios_4ch_0166a	क्षारीय लावा में धात्विक खनिजों का अनुपात अधिक होता है ।	kRArIya lAvA meM XAwvika KanijoM kA anupAwa aXika howA hE .	Since the basic lava is rich in metalic minerals and has a low melting point.
Geo_nios_4ch_0166b	तथा उनका पिघलन बिंदु नीचा होता है ।	waWA unakA piGalana biMxu nIcA howA hE .	Since the basic lava is rich in metalic minerals and has a low melting point.
Geo_nios_4ch_0167	अतः क्षारीय लावा अधिक तरल होता है ।	awaH kRArIya lAvA aXika warala howA hE .	It has greater fluidity.
Geo_nios_4ch_0168	इस प्रकार के ज्वालामुखी उदगारों में लावा दूर-दूर तक शीघ्र तथा तेजी से फैल जाता है ।	isa prakAra ke jvAlAmuKI uxagAroM meM lAvA xUra-xUra waka SIGra waWA wejI se PEla jAwA hE .	In this type of eruption, lava flows far and wide quietly with greater speed.
Geo_nios_4ch_0169	इससे लावा की पतली परतें विस्तृत क्षेत्र में जमा हो जाती है ।	isase lAvA kI pawalI paraweM viswqwa kRewra meM jamA ho jAwI hE .	Spreads out in thin sheets over a large area.
Geo_nios_4ch_0170	इस प्रकार के उद्गारों से शील्डों तथा लावा गुम्बदों का निर्माण होता है ।	isa prakAra ke uxgAroM se SIldoM waWA lAvA gumbaxoM kA nirmANa howA hE .	Thus, it leads to the formation of shields and lava domes.
Geo_nios_4ch_0171	प्रशांत महासागर में हवाई द्वीप समूह में स्थित शील्ड ज्वालामुखी इस प्रकार का ज्वालामुखी है ।	praSAMwa mahAsAgara meM havAI xvIpa samUha meM sWiwa SIlda jvAlAmuKI isa prakAra kA jvAlAmuKI hE .	The shield volcano of Hawaian Island in Pacific ocean is one of these volcanoes.
Geo_nios_4ch_0172a	क्षारीय लावा के विपरीत अम्लीय लावा में सिलिका की मात्रा अधिक होती है ।	kRArIya lAvA ke viparIwa amlIya lAvA meM silikA kI mAwrA aXika howI hE .	Contrary to basic lava, acid lava is rich in silica and has a relatively high melting point.
Geo_nios_4ch_0172b	तथा इसका पिघलन बिंदु अपेक्षाकृत ऊँचा होता है ।	waWA isakA piGalana biMxu apekRAkqwa UzcA howA hE .	Contrary to basic lava, acid lava is rich in silica and has a relatively high melting point.
Geo_nios_4ch_0173a	अतः: यह अत्यधिक गाढा होता है ।	awaH: yaha awyaXika gADA howA hE .	Therefore, it is highly viscous and solidifies quickly.
Geo_nios_4ch_0173b	तथा शीघ्र ही जम जाता है ।	waWA SIGra hI jama jAwA hE .	Therefore, it is highly viscous and solidifies quickly.
Geo_nios_4ch_0174	यही कारण है कि अम्लीय लावा ज्वालामुखी सामान्यतया ऊँची भू-आकृतियों का निर्माण करते हैं ।	yahI kAraNa hE ki amlIya lAvA jvAlAmuKI sAmAnyawayA UzcI BU-AkqwiyoM kA nirmANa karawe hEM .	Hence, the, acid lava volcanoes cause the formation of usually higher land features.
Geo_nios_4ch_0175	इन भू-आकृतियों के ढाल तीव्र होते हैं ।	ina BU-AkqwiyoM ke DAla wIvra howe hEM .	They have steeper slopes.
Geo_nios_4ch_0176	अम्लीय लावा शंकु के ढाल क्षारीय लावा शील्डों से अधिक तीव्र होते हैं ।	amlIya lAvA SaMku ke DAla kRArIya lAvA SIldoM se aXika wIvra howe hEM .	Acid lava cones are of steeper slopes than basic lava shields.
Geo_nios_4ch_0177	क्षारीय लावा अधिक तरल होता है अत: शीघ्रता से दूर-दूर तक फैल जाता है ।	kRArIya lAvA aXika warala howA hE awa: SIGrawA se xUra-xUra waka PEla jAwA hE .	This type of eruption of steep sided cones.
Geo_nios_4ch_0178	इसके कारण शील्डों का निर्माण होता हैं ।	isake kAraNa SIldoM kA nirmANa howA hEM .	It causes the formation of shields.
Geo_nios_4ch_0179	अम्लीय लावा अत्यधिक गाढा होता है ।	amlIya lAvA awyaXika gADA howA hE .	Acid lava is highly viscous.
Geo_nios_4ch_0180	इस प्रकार के उद्गार से तीव्र ढाल वाले शंकु निर्मित होते हैं ।	isa prakAra ke uxgAra se wIvra DAla vAle SaMku nirmiwa howe hEM .	This type of eruption of steep sided cones.
Geo_nios_4ch_0181	संसार में लगभग 500 ज्वालामुखी हैं ।	saMsAra meM lagaBaga 500 jvAlAmuKI hEM .	There are about 500 volcanoes in the world.
Geo_nios_4ch_0182	इनमें से अधिकांश तीन निश्चित पेटियों में पाये जाते हैं ।	inameM se aXikAMSa wIna niSciwa petiyoM meM pAye jAwe hEM .	Most of these volcanoes are found in three well defined belts.
Geo_nios_4ch_0183	ये तीन पेटियाँ हैं - प्रशांत महासागरीय टिप्पणी पेटी, मध्यवर्ती पेटी तथा अफ्रीकी दरारघाटी पेटी ।	ye wIna petiyAz hEM - praSAMwa mahAsAgarIya tippaNI petI, maXyavarwI petI waWA aPrIkI xarAraGAtI petI .	The Circum-Pacific belt, the Mid-World Mountain belt and the African Rift Valley belt.
Geo_nios_4ch_0184	इस प्रकार, ज्वालामुखी उन क्षेत्रों में मुख्य रूप में पाये जाते हैं जहाँ अत्यधिक वलन व भ्रंशन पाये जाते हैं ।	isa prakAra, jvAlAmuKI una kRewroM meM muKya rUpa meM pAye jAwe hEM jahAz awyaXika valana va BraMSana pAye jAwe hEM .	Thus, volcanoes are closely related to the regions of intense folding and faulting.
Geo_nios_4ch_0185	वे तटीय पर्वतीय श्रेणियों के साथ, द्वीपों तथा महासागरों के आंतरिक भागों में पाये जाते हैं ।	ve watIya parvawIya SreNiyoM ke sAWa, xvIpoM waWA mahAsAgaroM ke AMwarika BAgoM meM pAye jAwe hEM .	They occur along coastal’ mountain ranges, on islands and in the mid-oceans.
Geo_nios_4ch_0186	महाद्वीपों के आंतरिक भाग इनकी क्रिया से सामान्यतया अछूते रहे हैं ।	mahAxvIpoM ke AMwarika BAga inakI kriyA se sAmAnyawayA aCUwe rahe hEM .	Interior parts of continents are generally free from their activity.
Geo_nios_4ch_0187	अधिकांश सक्रिय ज्वालामुखी प्रशांत महासागरीय क्षेत्र में स्थित हैं ।	aXikAMSa sakriya jvAlAmuKI praSAMwa mahAsAgarIya kRewra meM sWiwa hEM .	Most of the active volcanoes are found in the pacific region.
Geo_nios_4ch_0188	लगभग 83 सक्रिय ज्वालामुखी भूमध्य सागरीय क्षेत्र में पाये जाते हैं ।	lagaBaga 83 sakriya jvAlAmuKI BUmaXya sAgarIya kRewra meM pAye jAwe hEM .	About 83 active volcanoes are located in Mediterranean region.
Geo_nios_4ch_0189	प्रशांत महासागरीय पेटी में सबसे अधिक ज्वालामुखी संकेंद्रित हैं ।	praSAMwa mahAsAgarIya petI meM sabase aXika jvAlAmuKI saMkeMxriwa hEM .	Circum-Pacific region has the greatest concentration of volcanoes.
Geo_nios_4ch_0190	इसलिए इसे प्रशांत अग्नि वलय कहते हैं ।	isalie ise praSAMwa agni valaya kahawe hEM .	That is why, it is called ‘Pacific Ring of Fire’.
Geo_nios_4ch_0191	यह वलय दक्षिणी अमेरिका में एण्डीज पर्वत श्रेणी के साथ से प्रारंभ होकर अलास्का तक तथा अल्यूशियन द्वीप समूह से जापान, फिलीपाइन्स, इंडोनेशिया से न्यूजीलैंड तक फैली हुई है ।	yaha valaya xakRiNI amerikA meM eNdIja parvawa SreNI ke sAWa se prAraMBa hokara alAskA waka waWA alyUSiyana xvIpa samUha se jApAna, PilIpAinsa, iMdoneSiyA se nyUjIlEMda waka PElI huI hE .	This ring extends along Andes mountains of south America to Alaska and from the Aleutian Islands to Japan, Philippines, Indonesia to NewZealand.
Geo_nios_4ch_0192	संसार की मध्यवर्ती पेटी का ज्वालामुखी की संख्या के अनुसार दूसरा स्थान है ।	saMsAra kI maXyavarwI petI kA jvAlAmuKI kI saMKyA ke anusAra xUsarA sWAna hE .	The Mid-world mountain belt occupies the second position with regard to the numbers of volcanoes.
Geo_nios_4ch_0193	यह यूरोप में आल्प्स पर्वत से प्रारंभ होकर टर्की तथा हिमाचल पर्वत प्रदेश से होती हुई प्रशांत महासागरीय पेटी से मिल जाती है ।	yaha yUropa meM Alpsa parvawa se prAraMBa hokara tarkI waWA himAcala parvawa praxeSa se howI huI praSAMwa mahAsAgarIya petI se mila jAwI hE .	It runs from Alps in Europe to Asia Minor and crossing through Himalayan region joins the Circum-Pacific belt.
Geo_nios_4ch_0194	अफ्रीकी दरारघाटी प्रदेश का तीसरा स्थान है ।	aPrIkI xarAraGAtI praxeSa kA wIsarA sWAna hE .	The African rift valley region ranks third.
Geo_nios_4ch_0195	इस पेटी के अधिकांश ज्वालामुखी विलुप्त प्रकार के हैं ।	isa petI ke aXikAMSa jvAlAmuKI vilupwa prakAra ke hEM .	Most of the volcanoes are extinct here.
Geo_nios_4ch_0196	केवल माउन्ट केमरून ज्वालामुखी जो पश्चिमी मध्य अफ्रीका में स्थित हैं, सक्रिय ज्वालामुखी है ।	kevala mAunta kemarUna jvAlAmuKI jo paScimI maXya aPrIkA meM sWiwa hEM, sakriya jvAlAmuKI hE .	Mt. Cameroon is the only active volcano which is situated in Central West Africa.
Geo_nios_4ch_0197	संसार में लगभग 500 ज्वालामुखी हैं ।	saMsAra meM lagaBaga 500 jvAlAmuKI hEM .	There are about five hundred volcanoes in the world.
Geo_nios_4ch_0198	वे तीन निश्चित पेटियों - प्रशांत महासागर को घेरनेवाली पेटी, मध्यवर्ती पर्वतीय पेटी तथा पूर्वी-अफ्रीकी दरार घाटी में स्थित हैं ।	ve wIna niSciwa petiyoM - praSAMwa mahAsAgara ko GeranevAlI petI, maXyavarwI parvawIya petI waWA pUrvI-aPrIkI xarAra GAtI meM sWiwa hEM .	They are located in three well defined belts namely the Circum-Pacific, the Mid World Mountain and East African Rift Valley belts.
Geo_nios_4ch_0199	अधिकांश सक्रिय ज्वालामुखी प्रशांत महासागरीय पेटी में स्थित है ।	aXikAMSa sakriya jvAlAmuKI praSAMwa mahAsAgarIya petI meM sWiwa hE .	Most of the active volcanoes are located in Circum-Pacific belt .
Geo_nios_4ch_0200	इसे प्रशांत अग्नि वलय कहते हैं ।	ise praSAMwa agni valaya kahawe hEM .	Which is known the Pacific Ring of Fire.
Geo_nios_4ch_0201	निम्न प्रश्नों के उत्तर दीजिये ।	nimna praSnoM ke uwwara xIjiye .	Answer the following questions.
Geo_nios_4ch_0202	उस प्रक्रिया का नाम बताइए जिसमें मैग्मा पृथ्वी के गर्भ से बाहर निकलता है ।	usa prakriyA kA nAma bawAie jisameM mEgmA pqWvI ke garBa se bAhara nikalawA hE .	Name the process by which magma is ejected out of the earth’s interior.
Geo_nios_4ch_0203	उद्गार की बारम्बारता के आधार पर तीन प्रकार के ज्वालामुखियों के नाम बताइए ।	uxgAra kI bArambArawA ke AXAra para wIna prakAra ke jvAlAmuKiyoM ke nAma bawAie .	Name three types of volcanoes on the basis of the frequency of eruption.
Geo_nios_4ch_0204	उद्गार की प्रकृति के आधार पर दो प्रकार के ज्वालामुखियों के नाम बताइए ।	uxgAra kI prakqwi ke AXAra para xo prakAra ke jvAlAmuKiyoM ke nAma bawAie .	Name two types of volcanoes on the basis of the mode of eruption.
Geo_nios_4ch_0205	तरलता के आधार पर लावा के दो प्रकार बताइए ।	waralawA ke AXAra para lAvA ke xo prakAra bawAie .	State two types of lava on the basis of their fluidity.
Geo_nios_4ch_0206	भूकम्प आपने शायद दूरदर्शन के समाचारों में भूकम्प से होने वाले विनाश के विषय में सुना होगा ।	BUkampa Apane SAyaxa xUraxarSana ke samAcAroM meM BUkampa se hone vAle vinASa ke viRaya meM sunA hogA .	EARTH QUAKE: You have probably seen television news accounts of disastrous earthquakes and destruction caused by them.
Geo_nios_4ch_0207	भूपृष्ठ के हिलने या कांपने को भूकम्प कहते हैं ।	BUpqRTa ke hilane yA kAMpane ko BUkampa kahawe hEM .	An earthquake is a motion of the ground surface.
Geo_nios_4ch_0208	ये हल्के से कम्पन से लेकर भवनों को तेज हिलाकर रख देने वाले होते हैं ।	ye halke se kampana se lekara BavanoM ko weja hilAkara raKa xene vAle howe hEM .	Ranging from a faint tremor to a wild motion capable of shaking building apart.
Geo_nios_4ch_0209	भूकम्प लहरों की गति की ऊर्जा का एक रूप है जो पृथ्वी की धरातलीय परत से संप्रेषित होती है ।	BUkampa laharoM kI gawi kI UrjA kA eka rUpa hE jo pqWvI kI XarAwalIya parawa se saMpreRiwa howI hE .	The earthquake is a form of energy of wave motion transmitted through the surface layer of the earth.
Geo_nios_4ch_0210	सभी भूकम्प समान तीव्रता वाले नहीं होते ।	saBI BUkampa samAna wIvrawA vAle nahIM howe .	All the earthquakes are not of the same intensity.
Geo_nios_4ch_0211a	इनमें से कुछ भूकम्प बहुत भयंकर होते हैं, कुछ हल्के होते हैं ।	inameM se kuCa BUkampa bahuwa BayaMkara howe hEM, kuCa halke howe hEM .	Some of them are very severe, others are very mild and still others are not even noticed.
Geo_nios_4ch_0211b	तथा शेष कुछ का तो पता ही नहीं चल पाता ।	waWA SeRa kuCa kA wo pawA hI nahIM cala pAwA .	Some of them are very severe, others are very mild and still others are not even noticed.
Geo_nios_4ch_0212	भयंकर या अधिक तीव्रता वाले भूकम्प गिने चुने होते हैं ।	BayaMkara yA aXika wIvrawA vAle BUkampa gine cune howe hEM .	Major or strong earthquakes are only a few.
Geo_nios_4ch_0213a	यद्यपि हमारी पृथ्वी पर प्रतिदिन भूकम्प आते रहते हैं ।	yaxyapi hamArI pqWvI para prawixina BUkampa Awe rahawe hEM .	Though our earth experiences many earthquakes everyday, however the frequency of earthquakes varies largely from place to place.
Geo_nios_4ch_0213b	लेकिन उनकी बारम्बारता में स्थान-स्थान पर बहुत अन्तर पाया जाता हैं ।	lekina unakI bArambArawA meM sWAna-sWAna para bahuwa anwara pAyA jAwA hEM .	Though our earth experiences many earthquakes everyday, however the frequency of earthquakes varies largely from place to place.
Geo_nios_4ch_0214a	सारे संसार में फैला भूकम्पमाषी केंद्रों का जाल प्रतिदिन दर्जनों भूकम्पों को आलेखित करता है ।	sAre saMsAra meM PElA BUkampamARI keMxroM kA jAla prawixina xarjanoM BUkampoM ko AleKiwa karawA hE .	The network of seismographic stations all over the world records dozens of earthquakes every day,but, occurrence of severe earthquakes is limited to a few regions.
Geo_nios_4ch_0214b	लेकिन भयंकर भूकम्प कुछ ही क्षेत्रों में आते हैं ।	lekina BayaMkara BUkampa kuCa hI kRewroM meM Awe hEM .	The network of seismographic stations all over the world records dozens of earthquakes every day,but, occurrence of severe earthquakes is limited to a few regions.
Geo_nios_4ch_0215	भूकम्प मापने वाले यंत्र को भूकम्प मापी (सीस्मोग्राफ) यंत्र कहते हैं ।	BUkampa mApane vAle yaMwra ko BUkampa mApI (sIsmogrAPa) yaMwra kahawe hEM .	The instrument used for recording the earthquakes is known as seismograph.
Geo_nios_4ch_0216	सीस्मोस' ग्रीक भाषा का शब्द है जिसका अर्थ है भूकम्प ।	sIsmosa' grIka BARA kA Sabxa hE jisakA arWa hE BUkampa .	‘Sesamos’ is a Greek word which means an earthquake.
Geo_nios_4ch_0217	भूपृष्ठ में स्थित वह बिंदु जहां से भूकम्प प्रारंभ होता है उसे भूकम्प केंद्र कहते हैं ।	BUpqRTa meM sWiwa vaha biMxu jahAM se BUkampa prAraMBa howA hE use BUkampa keMxra kahawe hEM .	The point within the earth’s crust where an earthquake originates is called the focus.
Geo_nios_4ch_0218	सामान्यता यह केंद्र भूपृष्ठ मं 60 किलोमीटर की गहराई के आसपास स्थित होता है ।	sAmAnyawA yaha keMxra BUpqRTa maM 60 kilomItara kI gaharAI ke AsapAsa sWiwa howA hE .	It generally lies within the depth of 60 kilometres in the earth crust.
Geo_nios_4ch_0219	भूकम्प केंद्र के ठीक ऊपर पृथ्वी के धरातल पर जो स्थान होता है, उसे अधिकेंद्र कहते हैं ।	BUkampa keMxra ke TIka Upara pqWvI ke XarAwala para jo sWAna howA hE, use aXikeMxra kahawe hEM .	The point vertically above the focus on the earth’s surface is known as ‘epicentre’.
Geo_nios_4ch_0220	भूकम्प का प्रभाव उसके उद्गम बिंदु से तरंगों द्वारा ले जाया जाता है ।	BUkampa kA praBAva usake uxgama biMxu se waraMgoM xvArA le jAyA jAwA hE .	The impact of the earthquake is carried from the point of its origin by earthquake waves.
Geo_nios_4ch_0221	ये भूकम्पीय तरंगें भूकम्प केंद्र से पैदा होकर सभी दिशाओं की ओर चलती है ।	ye BUkampIya waraMgeM BUkampa keMxra se pExA hokara saBI xiSAoM kI ora calawI hE .	These earthquake waves originating from the focus travel in all directions.
Geo_nios_4ch_0222	लेकिन उनकी तीव्रता अधिकेन्द्र पर सबसे अधिक होती है ।	lekina unakI wIvrawA aXikenxra para sabase aXika howI hE .	But their intensity is the highest at the epicentre.
Geo_nios_4ch_0223	यही कारण है कि अधिकेन्द्र के चारों ओर फैले क्षेत्र पर विनाश सर्वाधिक होता है ।	yahI kAraNa hE ki aXikenxra ke cAroM ora PEle kRewra para vinASa sarvAXika howA hE .	That is why the maximum destruction occurs at and around the epicentre.
Geo_nios_4ch_0224	कम्पन की तीव्रता अधिकेंद्र के चारों ओर दूर जाने पर क्रमश: कम होती जाती है ।	kampana kI wIvrawA aXikeMxra ke cAroM ora xUra jAne para kramaSa: kama howI jAwI hE .	The intensity of vibrations decreases as one moves away from the epicentre in all directions.
Geo_nios_4ch_0225	भूकम्प पृथ्वी के धरातल का कंपन है जो हल्के से कंपन से लेकर भवनों को तेज हिलाकर रख देने वाला हो सकता है ।	BUkampa pqWvI ke XarAwala kA kaMpana hE jo halke se kaMpana se lekara BavanoM ko weja hilAkara raKa xene vAlA ho sakawA hE .	An earthquake is a motion of the ground surface, ranging from a faint tremor to a wild motion capable of shaking buildings apart.
Geo_nios_4ch_0226	भूकम्प मापने के लिए भूकम्प मापी (सिस्मोग्राफ) यंत्र का उपयोग करते हैं ।	BUkampa mApane ke lie BUkampa mApI (sismogrAPa) yaMwra kA upayoga karawe hEM .	A seismograph is an instrument used for recording earthquakes.
Geo_nios_4ch_0227	भूकम्प-केंद्र भूपृष्ठ में वह बिंदु होता है, जहाँ से भूकम्प प्रारंभ होता है ।	BUkampa-keMxra BUpqRTa meM vaha biMxu howA hE, jahAz se BUkampa prAraMBa howA hE .	Focus is the point within the earth’s crust where the earthquake originates.
Geo_nios_4ch_0228	अधिकेंद्र धरातल पर वह बिंदु होता है जो भूकम्प केंद्र के ठीक ऊपर होता है ।	aXikeMxra XarAwala para vaha biMxu howA hE jo BUkampa keMxra ke TIka Upara howA hE .	The epicentre is the point on the earth’s surface vertically above the focus.
